agent_id,origin_node_id,destination_node_id,cost,path_node_sequence,path_link_sequence
95,1008,4006,22.333641,1008;2010;3011;4006;,94;397;270;,
96,1008,4007,5.972301,1008;2010;3006;4007;,94;393;211;,
97,1008,4009,32.130928,1008;2010;3012;4009;,94;398;285;,
98,1008,4010,3.222029,1008;2010;3005;4010;,94;392;202;,
99,1008,4011,16.901833,1008;2010;3004;4011;,94;391;191;,
100,1008,4012,9.859409,1008;2010;3001;4012;,94;388;156;,
101,1009,4001,17.445650,1009;2012;3002;4001;,108;411;157;,
102,1009,4002,12.990435,1009;2012;3007;4002;,108;416;218;,
103,1009,4003,35.835968,1009;2012;3008;4003;,108;417;231;,
104,1009,4004,56.686783,1009;2012;3003;4004;,108;412;172;,
105,1009,4005,43.042534,1009;2012;3009;4005;,108;418;245;,
106,1009,4006,26.173656,1009;2012;3011;4006;,108;420;270;,
107,1009,4007,16.707844,1009;2012;3006;4007;,108;415;211;,
108,1009,4008,-1.805090,1009;2012;3010;4008;,108;419;260;,
109,1009,4010,29.447857,1009;2012;3005;4010;,108;414;202;,
110,1009,4011,19.854542,1009;2012;3004;4011;,108;413;191;,
111,1009,4012,6.616650,1009;2012;3001;4012;,108;410;156;,
112,1010,4001,20.031681,1010;2005;3002;4001;,113;334;157;,
113,1010,4002,24.384411,1010;2005;3007;4002;,113;338;218;,
114,1010,4003,34.402969,1010;2005;3008;4003;,113;339;231;,
115,1010,4004,46.482498,1010;2005;3003;4004;,113;335;172;,
116,1010,4005,66.127991,1010;2005;3009;4005;,113;340;245;,
117,1010,4006,30.174088,1010;2005;3011;4006;,113;342;270;,
118,1010,4007,23.834339,1010;2005;3006;4007;,113;337;211;,
119,1010,4008,10.119755,1010;2005;3010;4008;,113;341;260;,
120,1010,4009,27.699711,1010;2005;3012;4009;,113;343;285;,
121,1010,4011,21.488857,1010;2005;3004;4011;,113;336;191;,
122,1010,4012,32.793007,1010;2005;3001;4012;,113;333;156;,
123,1011,4001,4.315313,1011;2004;3002;4001;,124;323;157;,
124,1011,4002,28.648762,1011;2004;3007;4002;,124;327;218;,
125,1011,4003,17.699057,1011;2004;3008;4003;,124;328;231;,
126,1011,4004,26.742182,1011;2004;3003;4004;,124;324;172;,
127,1011,4005,31.503012,1011;2004;3009;4005;,124;329;245;,
128,1011,4006,26.313290,1011;2004;3011;4006;,124;331;270;,
129,1011,4007,8.156979,1011;2004;3006;4007;,124;326;211;,
130,1011,4008,11.005787,1011;2004;3010;4008;,124;330;260;,
131,1011,4009,17.741283,1011;2004;3012;4009;,124;332;285;,
132,1011,4010,-10.536448,1011;2004;3005;4010;,124;325;202;,
133,1011,4012,-1.657477,1011;2004;3001;4012;,124;322;156;,
134,1012,4001,32.001572,1012;2001;3002;4001;,133;289;157;,
135,1012,4002,3.288336,1012;2001;3007;4002;,133;294;218;,
136,1012,4003,3.970066,1012;2001;3008;4003;,133;295;231;,
137,1012,4004,11.640928,1012;2001;3003;4004;,133;290;172;,
138,1012,4005,30.791883,1012;2001;3009;4005;,133;296;245;,
139,1012,4006,-7.981287,1012;2001;3011;4006;,133;298;270;,
140,1012,4007,-3.111034,1012;2001;3006;4007;,133;293;211;,
141,1012,4008,25.802567,1012;2001;3010;4008;,133;297;260;,
142,1012,4009,-0.095966,1012;2001;3012;4009;,133;299;285;,
143,1012,4010,-16.551807,1012;2001;3005;4010;,133;292;202;,
144,1012,4011,0.746033,1012;2001;3004;4011;,133;291;191;,
